ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Lemmatized;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;7;true;true;true;false;false;false;false;0.4127;0.0;2.8573;0.0;3.9826;0.0;0.1008;0.0;12247.33
ClusterART;Not needed;7;true;true;true;false;true;false;false;0.5024000000000001;0.0;43.617000000000004;0.0;73.23270000000001;0.0;0.0362;0.0;4109.64
ClusterART;Not needed;7;true;true;true;true;false;false;false;0.43810000000000004;0.0;2.5587;0.0;4.016900000000001;0.0;0.0902;0.0;8251.68
ClusterART;Not needed;7;true;true;true;true;true;false;false;0.7506;0.0;30.2939;0.0;59.0643;0.0;0.0189;0.0;6702.94
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;false;false;false;0.4258;0.0287;3.0748;0.6207;3.4755000000000003;0.9015000000000001;0.046200000000000005;0.0371;213.33
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;false;false;true;0.26080000000000003;0.031200000000000002;6.0366;0.21880000000000002;6.3049;0.3504;-0.0216;0.0224;35.19
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;false;true;false;0.2558;0.0274;68.07650000000001;3.04;70.39370000000001;4.3512;-0.0855;0.0258;38.24
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;true;false;false;0.3189;0.047;45.4912;4.8116;74.5394;5.9729;-0.08700000000000001;0.0596;209.42
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;true;false;true;0.3164;0.0417;1.3566;0.1453;2.2908;0.2661;-0.1932;0.057;18.04
FuzzyCMeans1520;CosineDistance;7;true;true;true;false;true;true;false;0.3165;0.0417;9808.6993;1341.1572;14560.6792;1643.9650000000001;-0.2731;0.0575;20.89
FuzzyCMeans1520;CosineDistance;7;true;true;true;true;false;false;false;0.41900000000000004;0.028900000000000002;3.2467;0.46330000000000005;3.7241;0.6909000000000001;0.0466;0.031100000000000003;238.23
FuzzyCMeans1520;CosineDistance;7;true;true;true;true;false;false;true;0.2596;0.0291;5.958;0.20770000000000002;6.1386;0.3781;-0.023200000000000002;0.016;34.86
FuzzyCMeans1520;CosineDistance;7;true;true;true;true;false;true;false;0.25630000000000003;0.0274;70.2977;4.1271;71.5805;6.2083;-0.0811;0.022000000000000002;35.03
FuzzyCMeans1520;CosineDistance;7;true;true;true;true;true;false;false;0.3159;0.057100000000000005;31.863100000000003;4.2696000000000005;64.5027;5.5677;0.0079;0.0785;228.9
FuzzyCMeans1520;CosineDistance;7;true;true;true;true;true;false;true;0.3277;0.0364;0.8490000000000001;0.1424;2.2872;0.9866;-0.046700000000000005;0.1034;139.92
