ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Lemmatized;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;7;true;true;true;false;false;false;false;0.5584;0.0;2.2911;0.0;3.8566000000000003;0.0;0.2172;0.0;3221.37
ClusterART;Not needed;7;true;true;true;false;true;false;false;0.41800000000000004;0.0;50.9773;0.0;49.984100000000005;0.0;0.4338;0.0;1081.18
ClusterART;Not needed;7;true;true;true;true;false;false;false;0.5622;0.0;2.5582000000000003;0.0;3.8543000000000003;0.0;0.20140000000000002;0.0;2580.88
ClusterART;Not needed;7;true;true;true;true;true;false;false;0.42250000000000004;0.0;46.9799;0.0;39.018100000000004;0.0;0.36200000000000004;0.0;1001.42
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;false;false;false;0.38430000000000003;0.032600000000000004;2.2771;0.2947;2.4324;0.6075;0.10550000000000001;0.0344;74.94
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;false;false;true;0.2731;0.0296;6.2892;0.1097;6.877800000000001;0.12440000000000001;0.020300000000000002;0.015300000000000001;16.68
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;false;true;false;0.26180000000000003;0.029300000000000003;77.8595;2.1821;83.82780000000001;2.4869000000000003;-0.0395;0.0207;15.96
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;true;false;false;0.2771;0.0334;42.009100000000004;4.0385;72.5797;4.9711;-0.0907;0.060000000000000005;62.44
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;true;false;true;0.2863;0.0337;7.181900000000001;0.6341;11.571200000000001;0.9365;-0.25420000000000004;0.057300000000000004;8.59
FuzzyCMeans1620;CosineDistance;7;true;true;true;false;true;true;false;0.2856;0.0344;56162.925;5816.9022;84987.1768;7652.4658;-0.2751;0.060700000000000004;7.85
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;false;false;false;0.3783;0.0267;2.3496;0.2482;2.5172000000000003;0.4842;0.1096;0.0316;62.85
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;false;false;true;0.2607;0.0328;5.8826;0.1072;6.3281;0.11620000000000001;0.0;0.015000000000000001;16.07
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;false;true;false;0.2533;0.030600000000000002;75.25500000000001;2.1463;79.8151;2.4707000000000003;-0.055200000000000006;0.0234;18.33
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;true;false;false;0.2821;0.0316;31.378400000000003;2.9492000000000003;62.136500000000005;4.2054;-0.0166;0.0694;62.7
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;true;false;true;0.2844;0.0287;4.3782000000000005;0.5808;8.1335;0.7787000000000001;-0.1772;0.0714;8.1
FuzzyCMeans1620;CosineDistance;7;true;true;true;true;true;true;false;0.2844;0.0287;28083.0828;4362.4924;48981.7474;6287.407;-0.2403;0.0763;8.42
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;false;false;false;0.4323;0.0172;1.0389000000000002;0.1511;0.4514;0.2091;0.042100000000000005;0.022500000000000003;108.12
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;false;false;true;0.4394;0.014700000000000001;1.2942;0.3316;0.9238000000000001;0.4711;0.0227;0.0309;42.11
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;false;true;false;0.35250000000000004;5.0E-4;11.1394;0.0012000000000000001;0.8559;0.1535;0.020200000000000003;0.001;97.98
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;true;false;false;0.20800000000000002;0.005;15.438500000000001;0.8237;41.6379;7.3066;0.25570000000000004;0.047400000000000005;1472.33
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;true;false;true;0.1935;0.0083;1.2514;0.046900000000000004;13.630700000000001;0.8417;0.4922;0.0482;169.55
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;false;true;true;false;0.19820000000000002;0.018000000000000002;11497.1553;373.66560000000004;159636.3758;4944.5328;0.6872;0.0345;163.09
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;false;false;false;0.38670000000000004;0.0126;0.9619000000000001;0.1356;0.8073;0.2391;0.06910000000000001;0.0307;99.26
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;false;false;true;0.42560000000000003;0.0058000000000000005;0.9162;0.1711;0.3451;0.2053;0.0146;0.022600000000000002;47.98
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;false;true;false;0.3549;0.0;10.482800000000001;0.0;0.796;0.0;0.021;0.0;104.61
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;true;false;false;0.2549;0.0055000000000000005;10.8713;0.6902;14.086500000000001;2.3466;0.1907;0.029;1398.89
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;true;false;true;0.2117;0.0073;1.0027000000000001;0.0511;10.042200000000001;0.7755000000000001;0.5051;0.053500000000000006;172.84
FuzzyCMeans1620;EuclideanDistance;7;true;true;true;true;true;true;false;0.2406;0.0132;6196.761;456.559;93491.69690000001;7184.245;0.7195;0.0446;172.47
KMeans1620;CosineDistance;7;true;true;true;false;false;false;false;0.46040000000000003;0.0509;3.1673;0.1607;4.0689;0.0969;0.14350000000000002;0.027800000000000002;31.84
KMeans1620;CosineDistance;7;true;true;true;false;false;false;true;0.3211;0.0514;5.6803;0.3355;7.4648;0.3798;0.0908;0.0364;7.3
KMeans1620;CosineDistance;7;true;true;true;false;false;true;false;0.3164;0.0497;68.4657;5.1272;85.8049;6.122;0.0058000000000000005;0.037200000000000004;7.04
KMeans1620;CosineDistance;7;true;true;true;false;true;false;false;0.2771;0.0334;42.009100000000004;4.0385;72.5797;4.9711;-0.0907;0.060000000000000005;25.0
KMeans1620;CosineDistance;7;true;true;true;false;true;false;true;0.2871;0.0344;7.1881;0.6327;11.5862;0.9319000000000001;-0.2549;0.0574;3.15
KMeans1620;CosineDistance;7;true;true;true;false;true;true;false;0.2863;0.0337;56229.204900000004;5755.3013;84974.68280000001;7660.6238;-0.2753;0.060500000000000005;2.94
KMeans1620;CosineDistance;7;true;true;true;true;false;false;false;0.45;0.0505;3.2002;0.153;4.125;0.0966;0.1394;0.027700000000000002;29.8
KMeans1620;CosineDistance;7;true;true;true;true;false;false;true;0.3478;0.0526;5.2259;0.3603;6.973000000000001;0.35750000000000004;0.08220000000000001;0.039900000000000005;7.57
KMeans1620;CosineDistance;7;true;true;true;true;false;true;false;0.3375;0.0523;63.354400000000005;5.583;80.893;6.1475;0.006200000000000001;0.0488;8.89
KMeans1620;CosineDistance;7;true;true;true;true;true;false;false;0.2826;0.031200000000000002;31.3961;2.8969;62.103300000000004;4.349600000000001;-0.018600000000000002;0.0702;24.15
KMeans1620;CosineDistance;7;true;true;true;true;true;false;true;0.2844;0.0287;4.3782000000000005;0.5808;8.1335;0.7787000000000001;-0.1772;0.0714;3.31
KMeans1620;CosineDistance;7;true;true;true;true;true;true;false;0.2844;0.0287;28083.0828;4362.4924;48981.7474;6287.407;-0.2403;0.0763;3.27
KMeans1620;EuclideanDistance;7;true;true;true;false;false;false;false;0.4248;0.056;2.2991;0.2672;4.2651;0.1709;0.20750000000000002;0.0521;43.17
