ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
Neural Gas;EuclideanDistance;true;false;false;false;27;2.2863;0.0;2.5768;0.0;0.1474;0.0;110.1
ClusterART;Not needed;false;false;false;false;10;3.0581;0.0;3.4095;0.0;0.10300000000000001;0.0;2551.15
Neural Gas;EuclideanDistance;true;false;false;false;28;2.1684;0.0;2.0011;0.0;0.1077;0.0;121.01
ClusterART;Not needed;false;false;false;false;11;3.0331;0.0;3.4177;0.0;0.1;0.0;3160.6
Neural Gas;EuclideanDistance;true;false;false;false;29;2.3979;0.0;3.5412000000000003;0.0;0.1306;0.0;124.98
ClusterART;Not needed;false;false;false;false;12;2.9308;0.0;3.4764000000000004;0.0;0.1311;0.0;3250.56
Neural Gas;EuclideanDistance;true;false;false;false;3;2.8146;0.0;2.7855000000000003;0.0;-0.0489;0.0;10.6
ClusterART;Not needed;false;false;false;false;13;2.8566000000000003;0.0;3.4949000000000003;0.0;0.1506;0.0;3969.52
Neural Gas;EuclideanDistance;true;false;false;false;30;2.3993;0.0364;2.8880000000000003;0.1301;0.09720000000000001;0.0112;133.83
ClusterART;Not needed;false;false;false;false;14;2.7712000000000003;0.0;3.54;0.0;0.1778;0.0;4136.17
Neural Gas;EuclideanDistance;true;false;false;false;4;3.629;0.0;3.1856;0.0;0.0889;0.0;13.93
ClusterART;Not needed;false;false;false;false;15;2.8332;0.0;3.6747;0.0;0.1801;0.0;5855.53
Neural Gas;EuclideanDistance;true;false;false;false;5;3.0877000000000003;0.0;2.0721000000000003;0.0;0.014;0.0;17.33
ClusterART;Not needed;false;false;false;false;16;2.8205;0.0;3.7312000000000003;0.0;0.1855;0.0;5700.68
Neural Gas;EuclideanDistance;true;false;false;false;6;2.7556000000000003;0.0;3.3636000000000004;0.0;0.0983;0.0;21.36
ClusterART;Not needed;false;false;false;false;17;2.7467;0.0;3.7093000000000003;0.0;0.2034;0.0;7017.24
Neural Gas;EuclideanDistance;true;false;false;false;7;2.6457;0.0;2.4155;0.0;0.1291;0.0;24.04
ClusterART;Not needed;false;false;false;false;18;2.7895000000000003;0.0;3.7306000000000004;0.0;0.19110000000000002;0.0;7503.04
Neural Gas;EuclideanDistance;true;false;false;false;8;2.7574;0.0;3.4127;0.0;0.0847;0.0;29.52
ClusterART;Not needed;false;false;false;false;19;2.7722;0.0;3.7342;0.0;0.1957;0.0;8332.64
Neural Gas;EuclideanDistance;true;false;false;false;9;2.4544;0.0;2.6624000000000003;0.0;0.0877;0.0;32.58
ClusterART;Not needed;false;false;false;false;2;3.5406;0.0;1.959;0.0;0.0979;0.0;401.93
Neural Gas;EuclideanDistance;true;false;false;true;10;8.3596;0.0;8.4503;0.0;0.0078000000000000005;0.0;10.23
ClusterART;Not needed;false;false;false;false;20;2.6337;0.0;3.7359;0.0;0.1859;0.0;8916.17
Neural Gas;EuclideanDistance;true;false;false;true;11;7.8284;0.0;8.5073;0.0;0.0161;0.0;11.48
ClusterART;Not needed;false;false;false;false;21;2.6792000000000002;0.0;3.7778;0.0;0.1801;0.0;9696.76
Neural Gas;EuclideanDistance;true;false;false;true;12;7.618600000000001;0.0;8.5853;0.0;-0.0081;0.0;11.92
ClusterART;Not needed;false;false;false;false;22;2.6463;0.0;3.7711;0.0;0.1835;0.0;9927.78
Neural Gas;EuclideanDistance;true;false;false;true;13;8.4608;0.0;8.9472;0.0;-0.0046;0.0;13.39
ClusterART;Not needed;false;false;false;false;23;2.6259;0.0;3.8165;0.0;0.1943;0.0;10514.5
Neural Gas;EuclideanDistance;true;false;false;true;14;8.1775;0.0;9.0038;0.0;0.0099;0.0;15.71
ClusterART;Not needed;false;false;false;false;24;2.6492;0.0;3.8708;0.0;0.1948;0.0;18133.12
Neural Gas;EuclideanDistance;true;false;false;true;15;8.1029;0.0;9.169500000000001;0.0;0.042100000000000005;0.0;21.16
ClusterART;Not needed;false;false;false;false;25;2.6089;0.0;3.8800000000000003;0.0;0.2084;0.0;19407.8
Neural Gas;EuclideanDistance;true;false;false;true;16;7.751;0.0;10.3681;0.0;0.0328;0.0;22.53
ClusterART;Not needed;false;false;false;false;26;2.6508000000000003;0.0;3.9090000000000003;0.0;0.2016;0.0;12711.39
Neural Gas;EuclideanDistance;true;false;false;true;17;7.9093;0.0;9.4884;0.0;0.0762;0.0;17.42
ClusterART;Not needed;false;false;false;false;27;2.6141;0.0;3.907;0.0;0.2134;0.0;13677.48
Neural Gas;EuclideanDistance;true;false;false;true;18;8.1373;0.0;8.7692;0.0;0.0199;0.0;18.45
ClusterART;Not needed;false;false;false;false;28;2.684;0.0;3.9201;0.0;0.196;0.0;14274.19
Neural Gas;EuclideanDistance;true;false;false;true;19;7.9187;0.0;9.9703;0.0;-0.005200000000000001;0.0;27.6
ClusterART;Not needed;false;false;false;false;29;2.6590000000000003;0.0;3.9415;0.0;0.20320000000000002;0.0;24025.98
Neural Gas;EuclideanDistance;true;false;false;true;2;10.2628;0.0;5.666300000000001;0.0;0.0917;0.0;2.51
ClusterART;Not needed;false;false;false;false;3;3.3994;0.0;2.6332;0.0;0.1149;0.0;750.89
Neural Gas;EuclideanDistance;true;false;false;true;20;8.250300000000001;0.0;10.493;0.0;0.029500000000000002;0.0;23.66
ClusterART;Not needed;false;false;false;false;30;2.7614;0.0;4.0379000000000005;0.0;0.1821;0.0;15095.26
Neural Gas;EuclideanDistance;true;false;false;true;21;8.178600000000001;0.0;9.1263;0.0;0.0367;0.0;21.39
ClusterART;Not needed;false;false;false;false;4;3.4232;0.0;2.9688000000000003;0.0;0.0988;0.0;1040.06
Neural Gas;EuclideanDistance;true;false;false;true;22;7.8104000000000005;0.12240000000000001;10.786200000000001;0.1129;-0.0035;0.001;24.48
ClusterART;Not needed;false;false;false;false;5;3.0917000000000003;0.0;3.0184;0.0;0.11280000000000001;0.0;1267.87
Neural Gas;EuclideanDistance;true;false;false;true;23;8.956900000000001;0.0;10.783700000000001;0.0;0.0181;0.0;25.81
ClusterART;Not needed;false;false;false;false;6;3.1724;0.0;3.1180000000000003;0.0;0.057;0.0;1609.26
Neural Gas;EuclideanDistance;true;false;false;true;24;8.3018;0.0;9.703700000000001;0.0;0.06420000000000001;0.0;24.38
ClusterART;Not needed;false;false;false;false;7;3.1696;0.0;3.282;0.0;0.08560000000000001;0.0;1886.72
Neural Gas;EuclideanDistance;true;false;false;true;25;8.0487;0.0;10.967;0.0;-0.055400000000000005;0.0;26.55
ClusterART;Not needed;false;false;false;false;8;3.0468;0.0;3.2991;0.0;0.1068;0.0;2149.28
Neural Gas;EuclideanDistance;true;false;false;true;26;7.8712;0.12760000000000002;10.367700000000001;0.002;0.06910000000000001;0.013900000000000001;27.58
ClusterART;Not needed;false;false;false;false;9;3.0687;0.0;3.3848000000000003;0.0;0.1066;0.0;2503.91
Neural Gas;EuclideanDistance;true;false;false;true;27;6.982900000000001;0.3507;7.9283;0.8125;0.0223;0.005200000000000001;30.67
ClusterART;Not needed;false;true;false;false;10;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1688.67
Neural Gas;EuclideanDistance;true;false;false;true;28;8.2865;0.4892;10.216000000000001;0.2533;0.020900000000000002;0.013600000000000001;31.28
ClusterART;Not needed;false;true;false;false;11;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;3009.58
Neural Gas;EuclideanDistance;true;false;false;true;29;7.4564;0.1685;10.708;0.5833;0.06330000000000001;0.0158;33.7
ClusterART;Not needed;false;true;false;false;12;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1760.9
Neural Gas;EuclideanDistance;true;false;false;true;3;9.4442;0.0;6.8238;0.0;-0.016;0.0;3.11
ClusterART;Not needed;false;true;false;false;13;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1794.17
Neural Gas;EuclideanDistance;true;false;false;true;30;8.1715;0.6795;10.8717;0.21580000000000002;0.0361;0.028900000000000002;34.62
ClusterART;Not needed;false;true;false;false;14;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;2969.67
ClusterART;Not needed;false;true;false;false;15;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;3093.45
Neural Gas;EuclideanDistance;true;false;false;true;4;9.2867;0.0;7.506900000000001;0.0;-0.0103;0.0;6.89
ClusterART;Not needed;false;true;false;false;16;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;2005.71
Neural Gas;EuclideanDistance;true;false;false;true;5;9.081100000000001;0.0;7.889600000000001;0.0;-0.014;0.0;5.06
ClusterART;Not needed;false;true;false;false;17;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1887.14
Neural Gas;EuclideanDistance;true;false;false;true;6;8.7064;0.0;8.106300000000001;0.0;0.0058000000000000005;0.0;6.24
ClusterART;Not needed;false;true;false;false;18;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;2977.03
Neural Gas;EuclideanDistance;true;false;false;true;7;8.6318;0.0;8.1462;0.0;-6.000000000000001E-4;0.0;7.83
ClusterART;Not needed;false;true;false;false;19;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1937.47
Neural Gas;EuclideanDistance;true;false;false;true;8;8.5787;0.0;8.4319;0.0;0.0013000000000000002;0.0;8.16
ClusterART;Not needed;false;true;false;false;2;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1606.67
Neural Gas;EuclideanDistance;true;false;false;true;9;8.4726;0.0;8.4671;0.0;0.009300000000000001;0.0;9.14
ClusterART;Not needed;false;true;false;false;20;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;2944.56
Neural Gas;EuclideanDistance;true;false;true;false;10;87.2342;0.0;92.23060000000001;0.0;0.044000000000000004;0.0;10.08
