ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;false;false;false;false;10;2.6568;0.0;3.531;0.0;0.2303;0.0;1722.94
ClusterART;Not needed;false;false;false;false;11;2.6582000000000003;0.0;3.6114;0.0;0.2349;0.0;2173.85
ClusterART;Not needed;false;false;false;false;12;2.6034;0.0;3.6054000000000004;0.0;0.2462;0.0;3637.74
ClusterART;Not needed;false;false;false;false;13;2.7017;0.0;3.6615;0.0;0.2194;0.0;2707.12
ClusterART;Not needed;false;false;false;false;14;2.5912;0.0;3.7622;0.0;0.19160000000000002;0.0;3072.82
ClusterART;Not needed;false;false;false;false;15;2.6203000000000003;0.0;3.7636000000000003;0.0;0.257;0.0;3448.33
ClusterART;Not needed;false;false;false;false;16;2.2911;0.0;3.8566000000000003;0.0;0.2172;0.0;3524.11
ClusterART;Not needed;false;false;false;false;17;2.3905000000000003;0.0;3.801;0.0;0.2581;0.0;3812.45
ClusterART;Not needed;false;false;false;false;18;2.2715;0.0;3.8556000000000004;0.0;0.21960000000000002;0.0;4004.83
ClusterART;Not needed;false;false;false;false;19;2.4797000000000002;0.0;3.826;0.0;0.22920000000000001;0.0;4763.85
ClusterART;Not needed;false;false;false;false;2;3.4917000000000002;0.0;1.9454;0.0;0.1067;0.0;263.09
ClusterART;Not needed;false;false;false;false;20;2.5186;0.0;3.8412;0.0;0.2225;0.0;5154.39
ClusterART;Not needed;false;false;false;false;21;2.4648000000000003;0.0;3.8833;0.0;0.2431;0.0;5277.5
ClusterART;Not needed;false;false;false;false;22;2.3526000000000002;0.0;3.8918000000000004;0.0;0.2321;0.0;5536.38
ClusterART;Not needed;false;false;false;false;23;2.3022;0.0;4.0242;0.0;0.2104;0.0;6269.19
ClusterART;Not needed;false;false;false;false;24;2.3191;0.0;4.0725;0.0;0.2156;0.0;6463.04
ClusterART;Not needed;false;false;false;false;25;2.3760000000000003;0.0;4.1149000000000004;0.0;0.22360000000000002;0.0;5818.04
ClusterART;Not needed;false;false;false;false;26;2.2781000000000002;0.0;4.139600000000001;0.0;0.2084;0.0;6119.82
ClusterART;Not needed;false;false;false;false;27;2.5084;0.0;4.101;0.0;0.22030000000000002;0.0;5078.93
ClusterART;Not needed;false;false;false;false;28;2.3722000000000003;0.0;4.1502;0.0;0.21880000000000002;0.0;5466.6
ClusterART;Not needed;false;false;false;false;29;2.6035;0.0;4.1634;0.0;0.24000000000000002;0.0;6140.34
ClusterART;Not needed;false;false;false;false;3;3.3242000000000003;0.0;2.524;0.0;0.0519;0.0;389.34
