ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
Neural Gas;EuclideanDistance;true;false;false;false;27;1.7875;0.0829;2.4594;0.3788;0.07010000000000001;0.0233;46.47
ClusterART;Not needed;false;false;false;false;10;2.8933;0.0;4.0901000000000005;0.0;0.1705;0.0;2430.92
Neural Gas;EuclideanDistance;true;false;false;false;28;1.7594;0.1595;2.1734;0.36610000000000004;0.0772;0.0241;43.34
ClusterART;Not needed;false;false;false;false;11;2.8634;0.0;4.0944;0.0;0.1835;0.0;1703.97
Neural Gas;EuclideanDistance;true;false;false;false;29;1.6403;0.1366;2.1366;0.3244;0.0756;0.0279;47.27
ClusterART;Not needed;false;false;false;false;12;2.8892;0.0;4.0968;0.0;0.2467;0.0;1815.28
Neural Gas;EuclideanDistance;true;false;false;false;3;3.5012000000000003;0.0;3.024;0.0;0.2063;0.0;4.55
ClusterART;Not needed;false;false;false;false;13;2.5861;0.0;4.1125;0.0;0.3186;0.0;2147.39
Neural Gas;EuclideanDistance;true;false;false;false;30;1.6244;0.16570000000000001;2.0713;0.34890000000000004;0.076;0.0217;47.9
ClusterART;Not needed;false;false;false;false;14;2.7258;0.0;4.1256;0.0;0.27940000000000004;0.0;2497.1
Neural Gas;EuclideanDistance;true;false;false;false;4;3.8762000000000003;0.0;3.4317;0.0;0.1058;0.0;5.24
ClusterART;Not needed;false;false;false;false;15;2.5641000000000003;0.0;4.0981000000000005;0.0;0.2531;0.0;2485.71
Neural Gas;EuclideanDistance;true;false;false;false;5;3.8738;0.0;3.6411000000000002;0.0;0.09090000000000001;0.0;6.87
ClusterART;Not needed;false;false;false;false;16;2.5145;0.0;4.1149000000000004;0.0;0.2697;0.0;4621.78
Neural Gas;EuclideanDistance;true;false;false;false;6;3.8088;0.0;3.8047;0.0;0.10640000000000001;0.0;7.8
ClusterART;Not needed;false;false;false;false;17;2.5075000000000003;0.0;4.0801;0.0;0.2695;0.0;3133.24
Neural Gas;EuclideanDistance;true;false;false;false;7;3.0329;0.0;3.8571;0.0;0.1268;0.0;10.51
ClusterART;Not needed;false;false;false;false;18;2.5359000000000003;0.0;4.102;0.0;0.2159;0.0;3205.77
Neural Gas;EuclideanDistance;true;false;false;false;8;2.6223;0.0;2.1451000000000002;0.0;0.13570000000000002;0.0;13.45
ClusterART;Not needed;false;false;false;false;19;2.5182;0.0;4.0835;0.0;0.21660000000000001;0.0;3403.33
Neural Gas;EuclideanDistance;true;false;false;false;9;2.4706;0.0;4.0332;0.0;0.2685;0.0;11.93
ClusterART;Not needed;false;false;false;false;2;3.9293;0.0;2.0946000000000002;0.0;0.060700000000000004;0.0;217.47
Neural Gas;EuclideanDistance;true;false;false;true;10;2.5545;0.0;0.9812000000000001;0.0;0.0651;0.0;8.5
ClusterART;Not needed;false;false;false;false;20;2.4017;0.0;4.0543000000000005;0.0;0.20170000000000002;0.0;3609.45
Neural Gas;EuclideanDistance;true;false;false;true;11;2.4626;0.0;3.74;0.0;0.09290000000000001;0.0;6.5
ClusterART;Not needed;false;false;false;false;21;2.3389;0.0;4.0703000000000005;0.0;0.224;0.0;3674.41
Neural Gas;EuclideanDistance;true;false;false;true;12;2.2607;0.0;2.2616;0.0;0.0901;0.0;6.26
ClusterART;Not needed;false;false;false;false;22;2.326;0.0;4.1037;0.0;0.2359;0.0;3759.65
Neural Gas;EuclideanDistance;true;false;false;true;13;2.8842000000000003;0.0;2.8846000000000003;0.0;0.0709;0.0;7.08
ClusterART;Not needed;false;false;false;false;23;2.3228;0.0;4.1163;0.0;0.2442;0.0;3691.6
Neural Gas;EuclideanDistance;true;false;false;true;14;3.3822;0.0;1.8017;0.0;0.048100000000000004;0.0;9.85
ClusterART;Not needed;false;false;false;false;24;2.3924000000000003;0.0;4.1712;0.0;0.2351;0.0;3929.96
Neural Gas;EuclideanDistance;true;false;false;true;15;3.1971000000000003;0.0;2.016;0.0;0.0826;0.0;7.92
ClusterART;Not needed;false;false;false;false;25;2.2601;0.0;4.1704;0.0;0.23390000000000002;0.0;5165.19
Neural Gas;EuclideanDistance;true;false;false;true;16;2.5129;0.0;1.3169;0.0;0.07930000000000001;0.0;8.7
ClusterART;Not needed;false;false;false;false;26;2.254;0.0;4.1485;0.0;0.23420000000000002;0.0;5857.86
Neural Gas;EuclideanDistance;true;false;false;true;17;2.5020000000000002;0.0;1.5934000000000001;0.0;0.053000000000000005;0.0;9.14
ClusterART;Not needed;false;false;false;false;27;2.2374;0.0;4.1186;0.0;0.23240000000000002;0.0;9474.24
Neural Gas;EuclideanDistance;true;false;false;true;18;2.3929;0.0;1.4005;0.0;0.0263;0.0;12.98
ClusterART;Not needed;false;false;false;false;28;2.1572;0.0;4.1472;0.0;0.22410000000000002;0.0;9501.76
Neural Gas;EuclideanDistance;true;false;false;true;19;2.7442;0.085;2.4944;0.2977;0.0454;0.0046;11.59
ClusterART;Not needed;false;false;false;false;29;2.1694;0.0;4.123600000000001;0.0;0.2238;0.0;5643.95
Neural Gas;EuclideanDistance;true;false;false;true;2;5.2249;0.0;3.5566;0.0;0.267;0.0;1.39
ClusterART;Not needed;false;false;false;false;3;3.782;0.0;2.958;0.0;0.08600000000000001;0.0;329.75
Neural Gas;EuclideanDistance;true;false;false;true;20;2.6317;0.021;2.0116;0.2018;0.09330000000000001;0.0274;10.97
ClusterART;Not needed;false;false;false;false;30;2.1682;0.0;4.139600000000001;0.0;0.2296;0.0;6662.42
Neural Gas;EuclideanDistance;true;false;false;true;21;2.6567000000000003;0.1885;1.9766000000000001;0.43710000000000004;0.0575;0.0244;11.79
